id,author,thumbsup,text,# of replies,replies
Ugy3o8X6VkZ5cBmp0U14AaABAg,Keith Kimball,2,Excessive wealth = excessive poverty. The world economy collapses under the weight of concentrated wealth.,5,"[""Erm he is British. And has someone else has pointed out he comes from wealth. he's famous for saying he had no 'working class' friends when younger."", '@ Indian channel I also don’t understand why Britain takes the wrap for the world atrocities 😂 did y’all forget what the Mongolians? Chinese? The Middle East? Stalin…Hitler…saddam. Should we keep going?', '@ Indian channel ehhhhh he comes from wealth 😂', 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️', 'he did hard work to make money not like british colonizing and stealing wealth of other countries']"
UgwATmKl82RiW0icE8N4AaABAg,Joe Mama,1,he’ll be booed at more since he supports islamic republic or works for putin,2,"['Politics and opinions aside. I really do think he could be a national security risk', 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgxwsLoSf_oEAsFIA6B4AaABAg,Shon Morgun,6,I wish you luck U.K since you will need it,2,"['Why will they need it?', 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
Ugy6PLJ6kRAEOmfOAqt4AaABAg,Jay Mike,0,The government creates all the economic problems.,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgwZZs5aFy9WfJsjna54AaABAg,Troll King,0,Get your own country,13,"['He was born here, so I guess he is getting same as yours.', '@I Changed My Name A basic history lesson would do wonders for you. What did England do between 1500 and 1940? Any guesses?', '@NorCalJuggalo420 you are so smart.\n I hope one day, all of us, no matter of education level, no matter of background. One day NorCalJuggalo420… one day I believe we will all be as smart as you!', 'Difficult divide earth into 8 billion countries']"
UgyvzEl5skUbyBkpYXt4AaABAg,Gavin Barnes,2,Embarrassing,0,[]
UgxR1Br1m6845C3JTth4AaABAg,dbsti 300,0,"I have no idea who this person is and have no idea what's going on in the UK. One thing I do know is if this news agency is fawning over it, I'm almost certain he's Labor or some other lefty.",0,[]
UgyZVvxM2JX6gGGG5Wd4AaABAg,"Truth, and Faith",0,SUNAK>>>RELEASED<XRP>RIPPLE DONE DEAL TODAY LODON BRIDES FALLEN DOWN RESET<,0,[]
UgxDEK97CXEn0dQoSj94AaABAg,S Thread,106,"People should “make history” based on their leadership and actions, not because of the pigment of their skin.",25,"['The final analysis of a leader should of course be based on their performance and actions, but the movement of minorities into positions of power is of historical importance, and something to be celebrated in and of itself.']"
Ugz2uBl4xnE560mnJbx4AaABAg,ricardo ortiz,0,Funny what England/Great Britain has become. Trash,0,[]
UgwaffBm3ufjifILjSp4AaABAg,Cristian Famigliuolo,2,The savior of the world has arrived !! 😊 Really ?? From the speaker seems that Supermen is arrived. Will it save the world whit his money?,1,[]
UgxqZyw21b0QA76mY3t4AaABAg,ooga booga,4,there goes the neighborhood....,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
Ugw6bnq374CXREmrK-R4AaABAg,i love President Trump,14,"UK has gone woke and soft, final nail in the coffin for this declining state",6,"[""He's an extremely wealthy hardworking, business background, conservative with immigrant ethnicity just like Trump (Trump is of German and Scottish origin)"", ""It really hasn't"", 'boo hoo', ""Let's go Trump .. 🤣😂🤣""]"
UgwPSCYGXz-Yv3yxs5F4AaABAg,Sean Lann,12,PM richer than the king XD,6,"[""except the king didn't earn it"", ""Their family worked for the money tho, didn't rob a bank!"", 'Checks and Balances I guess. 💶🤴🏿👳🏿\u200d♂', 'Only officially.']"
Ugzp4Pdf8HTrbx6Ojv94AaABAg,Tibore Goldberger,0,🤡🤡🤡🤡🤡🤡🤡🤡💩💩💩💩💩💩💩💩💩💩😱😵😵😵🥴🥴🥴🥴🥴🥴🥴🥴🤡🤡🤡🤡🤡🤡💩💩💩💩💩💩💩💩💩💩,2,"['@+①③②①③⑧④⑧⑤⑧⑦ WhatsApp Nation of Islam ideology regularly incorporates bigoted and discriminatory beliefs, particularly aimed at Jews, LGBTQ+ people, and white people. The NOI also promotes various conspiratorial beliefs, which frequently overlap with their other forms of bigotry.', 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
Ugx16QtYBlI6-wue9Fl4AaABAg,Siyr Quintana,0,"⚠ATTENTION⚠ Volodimir Zelensky wants commit terrorist attack on own territory, detonate a dirty ""radioactive bomb"" and shift the blame to Russia! Please inform all your acquaintancesthis information, need immediate escape to neighboring states!⚠ ☢⚠",1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgzPgrPHNO4Kv3A9Gtd4AaABAg,sravan vlogs,47,Real Diwali has started today since the appointment of Rishi Sunak as UK PM,5,"['@Kartik S Kumar lavade pata nahi kya tuzhe 😂', 'How?  Gandu', 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
